Ticker,DateForm,Price Movement
TSLA,2018-08-23,-0.31%
TSLA,2018-08-22,-0.04%
TSLA,2018-08-21,4.16%
TSLA,2018-08-20,0.72%
TSLA,2018-08-17,-9.26%
GOOG,2018-08-23,0.01%
GOOG,2018-08-22,0.52%
GOOG,2018-08-21,-0.72%
GOOG,2018-08-20,0.32%
GOOG,2018-08-17,-0.79%
AAPL,2018-08-23,0.37%
AAPL,2018-08-22,0.04%
AAPL,2018-08-21,-0.40%
AAPL,2018-08-20,-1.22%
AAPL,2018-08-17,1.66%
AMAZ,2018-08-23,0.06%
AMAZ,2018-08-22,1.18%
AMAZ,2018-08-21,0.15%
AMAZ,2018-08-20,-0.54%
AMAZ,2018-08-17,-0.56%
FB,2018-08-23,-0.26%
FB,2018-08-22,0.63%
FB,2018-08-21,-0.14%
FB,2018-08-20,-0.99%
FB,2018-08-17,-0.85%
MSFT,2018-08-23,0.64%
MSFT,2018-08-22,1.06%
MSFT,2018-08-21,-1.04%
MSFT,2018-08-20,-0.90%
MSFT,2018-08-17,-0.39%
